timestamp_us,adc,lo_status
68513927,13536,0
68523928,12752,0
68533928,13312,0
68543928,12896,0
68553928,13440,0
68563927,12768,0
68573928,13296,0
68583928,12848,0
68593927,13360,0
68603928,12768,0
68613928,13424,0
68623927,12720,0
68633927,25664,0
68643928,25664,0
68653928,24000,0
68663928,10640,0
68673928,13488,0
68683927,12832,0
68693927,13744,0
68703928,12240,0
68713928,13952,0
68723927,12112,0
68733928,13968,0
68743927,12032,0
68753928,14000,0
68763928,12048,0
68773928,14112,0
68783928,11888,0
68793928,14480,0
68803927,11632,0
68813927,25664,0
68823928,22816,0
68833927,12176,0
68843928,11664,0
68853927,14400,0
68863928,11648,0
68873928,14400,0
68883928,11616,0
68893928,14480,0
68903927,11520,0
68913928,14112,0
68923927,11872,0
68933928,14640,0
68943928,11328,0
68953927,14544,0
68963928,11440,0
68973927,14528,0
68983928,0,0
68993927,5568,0
69003928,13568,0
69013927,14400,0
69023927,11312,0
69033928,14576,0
69043927,11472,0
69053927,14496,0
69063928,11488,0
69073927,14448,0
69083928,11552,0
69093928,14624,0
69103928,11344,0
69113928,14320,0
69123927,11728,0
69133928,14224,0
69143928,11808,0
69153928,18896,0
69163927,25664,0
69173928,22800,0
69183928,9536,0
69193928,14400,0
69203928,11936,0
69213928,14272,0
69223927,11728,0
69233927,14208,0
69243928,11840,0
69253927,14144,0
69263928,11856,0
69273927,14096,0
69283927,11952,0
69293927,14096,0
69303928,11952,0
69313928,14320,0
69323927,11696,0
69333928,17328,0
69343927,24480,0
69353928,11200,0
69363927,12064,0
69373928,14160,0
69383928,11904,0
69393928,14048,0
69403928,11968,0
69413927,13984,0
69423927,12080,0
69433927,13744,0
69443928,12320,0
69453927,13680,0
69463927,12384,0
69473928,13696,0
69483928,12432,0
69493928,13712,0
69503928,12352,0
69513927,16160,0
69523928,25536,0
69533927,12544,0
69543928,11488,0
69553927,14512,0
69563928,11776,0
69573927,14176,0
69583928,11888,0
69593928,14144,0
69603928,11904,0
69613927,14336,0
69623928,11696,0
69633927,14432,0
69643927,11568,0
69653927,14272,0
69663928,11776,0
69673928,14272,0
69683928,11760,0
69693928,17152,0
69703928,25584,0
69713928,14000,0
69723928,10752,0
69733927,14608,0
69743927,11776,0
69753927,14288,0
69763927,11760,0
69773928,14544,0
69783927,11408,0
69793927,14416,0
69803928,11648,0
69813927,14368,0
69823927,11680,0
69833928,14320,0
69843927,11696,0
69853927,14352,0
69863928,11664,0
69873928,23424,0
69883927,24896,0
69893927,12640,0
69903928,11280,0
69913928,14336,0
69923927,11904,0
69933928,14128,0
69943928,11952,0
69953928,14112,0
69963928,11952,0
69973927,13984,0
69983928,12096,0
69993927,13984,0
70003928,12048,0
70013927,14096,0
70023928,11952,0
70033927,14208,0
70043927,11872,0
70053928,25664,0
70063928,25408,0
70073927,12832,0
70083928,11312,0
70093928,14432,0
70103928,11856,0
70113927,14000,0
70123927,12064,0
70133927,14224,0
70143928,11840,0
70153928,14320,0
70163928,11728,0
70173928,14224,0
70183928,11792,0
70193927,14336,0
70203927,11712,0
70213927,14224,0
70223927,16,0
70233928,0,0
70243928,9856,0
70253928,16096,0
70263928,11056,0
70273927,14624,0
70283927,11488,0
70293927,14832,0
70303928,11168,0
70313927,15104,0
70323928,10944,0
70333927,15104,0
70343928,10944,0
70353928,15040,0
70363927,11024,0
70373928,15264,0
70383927,10832,0
70393928,15216,0
70403927,7824,0
70413927,25632,0
70423928,14672,0
70433928,13200,0
70443927,11584,0
70453927,14864,0
70463927,11136,0
70473927,14864,0
70483927,11184,0
70493927,14800,0
70503928,11280,0
70513927,14736,0
70523928,11344,0
70533928,14608,0
70543928,11472,0
70553928,14656,0
70563928,11392,0
70573928,14640,0
70583928,0,0
70593927,5104,0
70603927,13904,0
70613928,14224,0
70623928,11552,0
70633927,14464,0
70643927,11664,0
70653928,14592,0
70663927,11456,0
70673928,14528,0
70683927,11552,0
70693928,14400,0
70703927,11680,0
70713928,14400,0
70723928,11632,0
70733928,14576,0
70743927,11488,0
70753928,24560,0
70763928,23584,0
70773927,12352,0
70783927,11520,0
70793928,14544,0
70803928,11712,0
70813927,14480,0
70823927,11632,0
70833928,14784,0
70843928,11264,0
70853927,14528,0
70863928,11536,0
70873927,14288,0
70883928,11856,0
70893928,14544,0
70903927,11600,0
70913927,14192,0
70923927,11872,0
70933928,25664,0
70943927,23600,0
70953928,12032,0
70963928,11872,0
70973927,14320,0
70983927,11904,0
70993928,14176,0
71003927,11920,0
71013928,14320,0
71023928,11760,0
71033928,14496,0
71043927,11584,0
71053927,15056,0
71063927,11152,0
71073928,14592,0
71083928,11568,0
71093927,14336,0
71103928,0,0
71113928,0,0
71123928,0,0
71133927,14320,0
71143927,12784,0
71153928,13824,0
71163928,11984,0
71173928,14176,0
71183928,11920,0
71193927,14208,0
71203928,11920,0
71213927,14112,0
71223927,12000,0
71233928,14160,0
71243927,11968,0
71253928,14272,0
